abstracts	labels
clinical evaluation of the bond between composite resin and etched glass ionomer cement .. one hundred and thirty - eight non - undercut class v abrasion lesions were restored using glass ionomer cement overlaid by composite resin . four techniques were used : enamel and glass ionomer acid - etched , enamel only acid - etched , ionomer only acid - etched , and neither enamel nor glass ionomer acid - etched . the restorations were examined after six months , one year and two years and evaluated for integrity and marginal staining , the latter employing a direct clinical method and a set of photographic standards . the relative failure of restorations at six months was maintained at subsequent time intervals , and at two years the failure incidence was 10 , 35 , 43 and 58 per cent for the above four techniques respectively . marginal staining was most evident around those restorations for which only the glass ionomer had been etched . the results indicate that the retention of composite to etched glass ionomer is similar to that of composite to dentine using many dentine bonding agents . the several advantages of glass ionomers over dentine bonding agents are discussed .	0
an in - situ extraction - preconcentration method using ionic liquid - based surfactants for the determination of organic contaminants contained in marine sediments .. the determination of a group of organic contaminants from marine sediments samples including three polycyclic aromatic hydrocarbons , five alkylphenols ( i . e ., bisphenol - a or nonylphenol ) and one paraben has been carried out using an extraction / preconcentration strategy with ionic liquid - based surfactants and high - performance liquid chromatography ( hplc ) with diode array detection ( dad ). sediments are first extracted using two il - based surfactants , specifically 1 - hexadecyl - 3 - methyl imidazolium bromide ( c ( 16 ) mim - br ) and 1 - hexadecyl - 3 - butyl imidazolium bromide ( c ( 16 ) c ( 4 ) im - br ), as the extraction media in a microwave - assisted extraction ( mae ) procedure , followed by a novel in situ preconcentration method . the optimized mae method requires 0 . 1 g of sediment and 5 ml of 40 mm c ( 16 ) mim - br il solution . the extracts are then centrifuged and filtered . the subsequent preconcentration in situ approach consists of the insolubilization of an il - based surfactant formed by a metathesis reaction using the anion - exchange reagent lithium bis [( trifluoromethane ) sulfonyl ] imide ( lintf ( 2 )), which produces an analyte enriched il microdroplet . the optimized in situ approach utilizes 4 ml of the filtered extract , which are mixed with acetonitrile and 92 μl of lintf ( 2 ) solution ( 0 . 5 g ml (- 1 )), heated , vortexed and centrifuged . the formed il microdroplet is then simply diluted with acetonitrile (~ 100 μl ) and injected in the chromatograph without any further clean - up steps . the overall extraction / preconcentration method requires approximately 25 min in spite of dealing with complex solid samples , is nearly free of organic solvent ( requires ~ 900 μl of acetonitrile per sample ), and produces high preconcentration factors and quantification limits down to 0 . 04 mg kg (- 1 ) using hplc - dad .	0
"""water sorption and diffusion coefficient through an experimental dental resin .. polymeric composites have been widely used as dental restorative materials . a fundamental knowledge and understanding of the behavior of these materials in the oral cavity is essential to improve their properties and performance . in this paper we computed the data set of water absorption through an experimental dental resin blend using specimen discs of different thicknesses to estimate the diffusion coefficient . the resins were produced using bisphenol a glycol dimethacrylate , bisphenol a ethoxylated dimethacrylate and triethylene glycol dimethacrylate monomers . the water sorption test method was based on international standard iso 4049 """" dentistry - polymer - based filling materials """". results show a diffusion coefficient around 6 . 38 x 10 (- 8 ) cm ( 2 )/ s , within a variance of 0 . 01 %, which is in good agreement with the values reported in the literature and represents a very suitable value ."""	0
identification of endocrine disruptor biodegradation by integration of structure - activity relationship with pathway analysis .. we present a sar method that can predict estrogen - like endocrine disrupting chemical ( edc ) activity as well as key biodegradation steps for detoxification . this method is based on a recent graph - mining algorithm developed by kudo et al ., which generates a set of descriptors from all potent chemical fragments ( including rings ). this method is novel in that it achieves chemical diversity in the training data set by sampling another data set of larger diversity . the model achieved an 83 % accuracy prediction rate , and identified 1291 edc candidates from the kegg database . from this set of candidate compounds , bisphenol a was chosen for assay validation and biodegradation pathway analysis . results showed that bisphenol a exhibited estrogen - like activity and was degraded in three distinct reactions . the prediction model provided information on the mechanism of the ligand - target binding , such as key functional groups involved . we focused on the enzyme commission number , which is useful for analyses of biodegradation pathways . results identified oxygenases , ether hydrolases , and carbon - halide lyases as being important in the biodegradation pathway . this combined approach provided new information regarding the biodegradation of edcs , and can potentially be extended to applications with transcriptomic , proteomic , and metabolomic data to provide a quick screen of biological activity and biodegradation pathway ( s ).	0
single - step extraction and cleanup of bisphenol a in soft drinks by hemimicellar magnetic solid phase extraction prior to liquid chromatography / tandem mass spectrometry .. hemimicelles of tetradecanoate chemisorbed onto magnetic nanoparticles ( mnps ) are here proposed as a sorbent for the single - step extraction and cleanup of bisphenol a ( bpa ) in soft drinks . the purpose of this work was to develop a simple , rapid and low - cost sample treatment suitable to assess the human exposure to bpa from this type of high consumption food . the nanoparticles were easily coated by mixing commercially available magnetite of 20 - 30 nm mean particle diameter with tetradecanoate at 85 ° c for 30 min . the extraction / cleanup procedure involved stirring the samples ( 3 ml ) with 200mg of tetradecanoate - coated mnps for 20 min , isolating the sorbent with a nd - fe - b magnet and eluting bpa with methanol . the extraction efficiency was not influenced by salt concentrations up to 1m and ph values over the range 4 - 9 . no cleanup of the extracts was needed , and the method proved matrix - independent . the extracts were analyzed by liquid chromatography , electrospray ionization tandem mass spectrometry . quantitation was performed by internal standard calibration using bpa -( 13 ) c12 . the limit of quantitation obtained for the method , 0 . 03 ng ml (- 1 ), was below the usual range of concentrations reported for bpa in soft drinks ( 0 . 1 - 3 . 4 ng ml (- 1 )). the proposed method was successfully applied to the determination of bpa in different samples acquired from various supermarkets in southern spain ; the concentrations found ranged from 0 . 066 to 1 . 08 ng ml (- 1 ). recoveries from samples spiked with 0 . 33 ng ml (- 1 ) of bpa ranged from 91 % to 105 % with relative standard deviations from 3 % to 8 %.	0
highlight report : the bisphenol a controversy .	0
microbial accumulation and vitality on different restorative materials .. a new technique using standardized test facings was designed to evaluate interdental plaque accumulation on different restoration materials . in 10 volunteers , a total of 40 samples , including enamel , two different ceramics and a bonding composite , were inserted one by one into a precision attachment in an experimental inlay bordering on either the lower second premolar or the lower first molar . bacterial accumulation on each approximal specimen was allowed to mature for 3 d . following microbiological processing of the plaque samples , total bacterial counts , colony forming units and the bacterial vitality were determined . the results revealed different accumulation rate patterns . both ceramics accumulated less plaque with a reduced vitality compared to enamel , while the bonding composite showed no significant differences compared to the natural tooth substance . no significant differences were detected when comparing the two examined ceramics .	0
dietary exposure to chemical migrants from food contact materials : a probabilistic approach .. a two - dimensional probabilistic model has been developed to estimate the short - term dietary exposure of uk consumers to migrants from food packaging materials . the current eu approach uses a default scenario of assuming that all individuals are 60 kg weight and consume 1 kg of food packaged in the material of interest per day . using four uk national dietary and nutrition surveys comprising 4 - 7 day dietary records for different age groups and survey years , a sample representative of the uk population has been obtained consuming around 4200 different food items . each survey provides records for around 2000 individuals and supplies detailed information on the consumption of food and data on sex , height and socio - economic status which may be used to analyse the exposure of selected groups within the community . as a result we are able to address the variation in consumption of food amongst individuals , and account for actual body weights providing a more accurate representation of the ' true ' exposure . the migrants bisphenol a diglycidyl ether ( badge ), di - 2 - ethylhexyl adipate ( deha ) and styrene were considered as specimen compounds although the methodology employed has the flexibility to adapt to other migrants and packaging types and indeed other food contaminants . exposure for each individual is estimated by calculating and summing the individual exposure from each item in their diet , and is repeated for all individuals in each survey to produce a distribution of exposures for the population . the packaging type of each food item is assigned by utilizing known packaging types from the database or , by sampling from a distribution based upon market share information . the parameters contributing towards the exposure from a packaged dietary item are migrant concentration and item weight . distributions are used to represent the inherent variation and uncertainty affecting these parameters . where data on concentrations for a particular type of food are lacking , expert judgement is used to extrapolate from available data for other food types . the model can also be run using only migration data for food simulants . in this case , concentrations expected for each of the food items are assigned based on the data for the relevant food simulant . the primary outputs of the model are distributions of estimated daily intakes for the selected population . each distribution gives the variation across the population subject to the uncertain parameters sampled in that iteration of the model . analysing the ensemble of distributions allows us to obtain the confidence limits around estimates for percentiles due to the uncertainties . the probabilistic approach allows sensitivity analysis to evaluate the relative importance of the input parameters and places confidence bounds on the outputs to show the effect of the uncertainties and the contribution of each food type toward the overall exposure .	0
softening patterns of post - cure heat - treated dental composites .. the softening of post - cure , heat - treated dental composites in various solutions was evaluated by knoop hardness measurements . the samples were heated at 120 degrees c for 7 min immediately after curing and immersed in various solutions , water , ethanol , heptane and 0 . 1 n naoh . significant increases in hardness were observed for heated samples when compared to unheated samples . the various solutions softened both heated and unheated composites but heated samples were softened to a lesser degree . plots of hardness of heated and unheated samples were nearly parallel , indicating that mechanisms such as penetration of the resin matrix , degradation of the silane coupling agent and fillers may be involved in the softening of both heated and unheated composites . post - cure heat treatment improved the resistance to softening of dental composites .	0
occupational exposure to bisphenol - a ( bpa ) and the risk of self - reported male sexual dysfunction .. background : animal studies have suggested that bisphenol - a ( bpa ) is a potential human endocrine disrupter ; but evidence from human studies is needed . methods : we conducted an occupational cohort study to examine the effect of occupational exposure to bpa on the risk of male sexual dysfunction . current workers from bpa - exposed and control factories were recruited . the exposed workers were exposed to very high bpa levels in their workplace . male sexual function was ascertained through in - person interviews using a standard male sexual function inventory . results : bpa - exposed workers had consistently higher risk of male sexual dysfunction across all domains of male sexual function than the unexposed workers . after controlling for matching variables and potential confounders , exposed workers had a significantly increased risk of reduced sexual desire [ odds ratios ( or ) = 3 . 9 , 95 % confidence interval : 1 . 8 - 8 . 6 ), erectile difficulty ( or = 4 . 5 , 95 % ci 2 . 1 - 9 . 8 ), ejaculation difficulty ( or = 7 . 1 , 95 % ci 2 . 9 - 17 . 6 ), and reduced satisfaction with sex life ( or = 3 . 9 , 95 % ci 2 . 3 - 6 . 6 ). a dose - response relationship was observed with an increasing level of cumulative bpa exposure associated with a higher risk of sexual dysfunction . furthermore , compared with the unexposed workers , bpa - exposed workers reported significantly higher frequencies of reduced sexual function within 1 year of employment in the bpa - exposed factories . conclusions : our findings provide the first evidence that exposure to bpa in the workplace could have an adverse effect on male sexual dysfunction .	0
bisphenol a exposure and sexual dysfunction in men : editorial commentary on the article ' occupational exposure to bisphenol - a ( bpa ) and the risk of self - reported male sexual dysfunction ' li et al ., 2009 .	0
clinical evaluation of direct esthetic restorations in cervical abrasion / erosion lesions : one - year results .. one hundred sixteen cervical abrasion / erosion lesions were restored with one of the following techniques : ( 1 ) glass - ionomer cement , ( 2 ) composite resin with a dentinal bonding agent , or ( 3 ) composite resin with a glass - ionomer cement liner and a dentinal bonding agent . the restorations were assessed at baseline and at 6 months and 1 year postrestoration for retention , caries , color match , marginal staining , and surface texture . no statistically significant differences were found in retention , caries , color match , or marginal staining . a statistically significant difference was found with regard to surface texture : glass - ionomer cement restorations demonstrated a rougher surface than did the composite resin restorations . a substantial number of restorations composed of composite resin with a dentinal bonding agent demonstrated a color shift towards mismatch when evaluated at 6 months . this difference was not significant at the 1 - year followup .	0
disposition of a low dose of bisphenol a in male and female cynomolgus monkeys .. bisphenol a ( bpa ) is a weak estrogenic compound mass - produced with potential human exposure . following a single oral or intravenous ( iv ) dose of 100 microg / kg [ ring - 14c ( u )] radiolabeled bisphenol a ( 14c - bpa ) to male and female cynomolgus monkeys , 79 - 86 % of the administered radioactivity was excreted in urine over 7 days , and most of the urinary excretion was recovered by 24 h after dosing , a large part of this occurring within 12 h . the fecal excretion of radioactivity over 7 days was minimal ( 1 . 8 - 3 . 1 %). toxicokinetic parameters obtained from plasma 14c - bpa - derived radioactivity during 48 h were c ( max ) = 104 - 107 ng - eq / ml between 0 . 25 and 2 h , and auc ( oral ) = 244 - 265 ng - eq * h / ml after oral dosing . in the case of the iv dose , auc ( iv ) was 377 - 382 ng - eq * h / ml , and the bioavailability was 0 . 66 - 0 . 70 . the terminal elimination half - life was larger post - iv dose ( t ( 1 / 2iv ) = 13 . 5 - 14 . 7 h ) than post - oral dose ( t ( 1 / 2oral ) = 9 . 63 - 9 . 80 h ). after iv dose , the fast - phase half - life ( t ( 1 / 2f )) of total radioactivity was 0 . 61 - 0 . 67 h . the t ( 1 / 2f ) of unchanged 14c - bpa for females ( 0 . 39 h ) was smaller than that for males ( 0 . 57 h ). these results suggested the distribution of lipophilic 14c - bpa in adipose tissue after iv dose , in contrast to first pass metabolism after oral dose . 14c - bpa - derived radioactivity was strongly bound to plasma protein ( f ( p ) = 0 . 055 ). radio - hplc analysis suggested the predominant plasma and urinary metabolites were mono - and diglucuronide of 14c - bpa and unchanged 14c - bpa was very low (< or = 1 . 5 %) after oral dose . these results indicate that the intestinal absorption and metabolism of bpa was rapid and extensive , and the major metabolites , glucuronide conjugates of 14c - bpa , were rapidly excreted into urine in monkeys .	0
fate of nine recycled water trace organic contaminants and metal ( loid ) s during managed aquifer recharge into a anaerobic aquifer : column studies .. water quality changes associated with the passage of aerobic reverse osmosis ( ro ) treated recycled water through a deep anaerobic pyritic aquifer system was evaluated in sediment - filled laboratory columns as part of a managed aquifer recharge ( mar ) strategy . the fate of nine recycled water trace organic compounds along with potential negative water quality changes such as the release of metal ( loid ) s were investigated in large - scale columns over a period of 12 months . the anaerobic geochemical conditions provided a suitable environment for denitrification , and rapid ( half - life < 1 - 25 days ) degradation of the endocrine disrupting compounds ( bisphenol a , 17beta - estradiol , 17alpha - ethynylestradiol ), and iodipamide . however , pharmaceuticals ( carbamazepine and oxazepam ), disinfection by - products ( n - nitrosodimethylamine , n - nitrosomorpholine ) and iohexol did not degrade rapidly ( half - life > 100 days ). high retardation coefficients ( r ) determined for many of the trace organics ( r 13 to 67 ) would increase aquifer residence time and be beneficial for many of the slow degrading compounds . however , for the trace organics with low r values ( 1 . 1 - 2 . 6 ) and slow degradation rates ( half - life > 100 days ), such as n - nitrosodimethylamine , n - nitrosomorpholine and iohexol , substantial biodegradation during aquifer passage may not occur and additional investigations are required . only minor transient increases in some metal ( loid ) concentrations were observed , as a result of either pyrite oxidation , mineral dissolution or ph induced metal desorption , followed by metal re - sorption downgradient in the oxygen depleted zone .	0
decline in urinary bisphenol a concentrations in the united states .	0
developmental exposure to bisphenol a modulates innate but not adaptive immune responses to influenza a virus infection .. bisphenol a ( bpa ) is used in numerous products , such as plastic bottles and food containers , from which it frequently leaches out and is consumed by humans . there is a growing public concern that bpa exposure may pose a significant threat to human health . moreover , due to the widespread and constant nature of bpa exposure , not only adults but fetuses and neonates are also exposed to bpa . there is mounting evidence that developmental exposures to chemicals from our environment , including bpa , contribute to diseases late in life ; yet , studies of how early life exposures specifically alter the immune system are limited . herein we report an examination of how maternal exposure to a low , environmentally relevant dose of bpa affects the immune response to infection with influenza a virus . we exposed female mice during pregnancy and through lactation to the oral reference dose for bpa listed by the us environmental protection agency , and comprehensively examined immune parameters directly linked to disease outcomes in adult offspring following infection with influenza a virus . we found that developmental exposure to bpa did not compromise disease - specific adaptive immunity against virus infection , or reduce the host ' s ability to clear the virus from the infected lung . however , maternal exposure to bpa transiently reduced the extent of infection - associated pulmonary inflammation and anti - viral gene expression in lung tissue . from these observations , we conclude that maternal exposure to bpa slightly modulates innate immunity in adult offspring , but does not impair the anti - viral adaptive immune response , which is critical for virus clearance and survival following influenza virus infection .	0
shofu ' s beautifil ® ii composite big on therapeutic properties .	0
effect of light intensity for adhesives on shear bond strength to dentin .. this study evaluated the effect of light intensity on the shear bond strength ( sbs ) of two self - etch adhesive systems : si - r20401 ( an experimental two - step ) and fluoro bond shake one ( a commercial one - step bonding system ). the adhesive systems were applied to the flat dentin surfaces of extracted human teeth according to manufacturers ' instructions . light intensities used for the adhesive systems were 100 , 300 , and 500 mw / cm2 . a resin composite paste was placed and polymerized for 40 seconds with 600 mw / cm2 of light intensity after each bonding procedure . specimens were subjected to sbs test with a 1 . 0 mm / minute crosshead speed . data were statistically analyzed using anova , followed by bonferroni post hoc test . two - way anova showed no significant differences in the effects of the adhesive system , light intensity for appliedadhesive , and the interaction between them . based on the results and limitations of this study , it was concluded that light intensity showed no significant effects on the sbs of the two self - etch adhesive systems .	0
effects of acidulated phosphate fluoride gel application on surface roughness , gloss and colour of different type resin composites .. objective : application of acidulated phosphate fluoride ( apf ) gel has been reported to cause deterioration of resin composites . this study investigated the effects of apf gel application on surface roughness , gloss and colour of resin composites . methods : a2 - shade resin disks of 2mm thickness polished with 180 - grit and 3000 - grit sic papers were made with estelite σ quick ( eq ), clearfil majesty ( cm ) and beautifil ii ( b2 ). six disks were prepared for each group . apf gel was applied in a 3mm thickness on the top surface of resin disks and left for 30min followed by rinsing and ultrasonic washing . this procedure was repeated 4 times . the l * a * b * values , colour difference ( δe * ab ), opacity , surface gloss and roughness of specimens before and after apf application were compared . data were analysed anova and fisher ' s plsd test with α = 0 . 05 . results : for the 3000 - grit polishing groups , the order of influence of apf gel application on colour of resin composites was cm > b2 > eq . both in the 180 - and 3000 - grit polishing groups , colour difference before and after apf gel application was hard to detect ( cm and b2 ) or impossible to detect ( eq ) by naked eye . on the other hand , for all the resin composites , the gloss was significantly decreased by apf gel application . apf gel appeared to cause deterioration and dissolution of resin composites used in this study . significance : in this limited study , supra - nano spherical filled estelite σ quick showed the least change on colour , gloss and surface roughness by apf gel application .	0
on - line solid phase extraction fast liquid chromatography - tandem mass spectrometry for the analysis of bisphenol a and its chlorinated derivatives in water samples .. in this study an on - line column - switching fast lc - ms / ms method was developed to analyze bisphenol a ( bpa ) and its chlorinated derivatives in water . fast liquid chromatographic separation was performed on a c18 reversed phase column based on fused - core particle technology ( 2 . 7 microm particle size ) providing analysis times shorter than 3 min and high peak efficiencies . the main benefit of this lc system is that it can easily be hyphenated to a conventional on - line preconcentration device allowing the direct analysis of water samples without any pretreatment at concentrations levels down to 60 ng l (- 1 ) and preventing contaminations frequently reported in the analysis of bpa . this on - line spe fast lc system was coupled to a triple quadrupole mass spectrometer operating in enhanced mass resolution mode ( q1 fwhm = 0 . 7 th , q3 fwhm = 0 . 1 th ) in order to minimize interferences and chemical noise . this highly sensitive and selective method was successfully employed to analyze bpa and its chlorinated derivatives in water samples .	0
influence of 2 - hydroxyethyl methacrylate concentration on polymer network of adhesive resin .. purpose : to evaluate the effect of variations in 2 - hydroxyethyl methacrylate ( hema ) concentrations in an experimental comonomer blend on degree of conversion , water sorption , solubility , and ultimate tensile strength of adhesive resin . materials and methods : the effect of hema content ( 0 , 15 , 30 , and 50 % wt - control , g15 , g30 , and g50 groups , respectively ) was tested in an experimental comonomer blend of bis - gma , bis - ema , teg - dma , and hema . the degree of conversion , polymerization rate , ultimate tensile strength , water sorption , and solubility of the adhesive resin blends were determined . results : at 40 s of light activation time , groups g30 and g50 showed a decrease of 30 % and 61 %, respectively , in degree of conversion compared to control . water sorption and solubility differed for all groups , and was statistically higher in g50 . for ultimate tensile strength , the control and g15 groups showed statistically higher values than the other groups ( p < 0 . 05 ). conclusion : higher hema content increases dental adhesive resin degradation .	0
influence of different enamel substrates on microtensile bond strength of sealants after cariogenic challenge .. purpose : to evaluate the microtensile bond strength ( μtbs ) of resin sealer on enamel substrates after cariogenic challenge . materials and methods : enamel blocks were obtained from human third molars and randomly divided into 6 groups ( n = 10 ) according to enamel substrates ( s : sound , cl : caries - like lesion , or cltf : caries - like lesion + topical fluoride application ) and sealant material ( f : fluroshield , or h : helioseal clear chroma ). sealants were placed on enamel surfaces , stored in 100 % humidity ( 24 h , 37 ° c ), and longitudinally sectioned into hourglass shapes . according to the groups , ph cycling was applied and the μtbs test was performed . the fracture patterns were assessed by sem . results : regarding substrates , the highest μtbs values in mpa were observed for cltf enamel ( 26 . 0 ± 7 . 6 ), followed by s ( 22 . 0 ± 7 . 4 ) and cl ( 15 . 5 ± 4 . 9 ). a significant interaction was found between material and ph cycling ( p = 0 . 0395 ). f ( 23 . 9 ± 7 . 6 ) showed higher μtbs values than h ( 18 . 3 ± 7 . 5 ) when submitted to ph cycling . the majority of samples presented mixed failure . conclusions : enamel substrate significantly affected μtbs , with the highest values for remineralized caries - like enamel lesions . furthermore , μtbs values were dependent on both materials and ph cycling .	0
effect of dentin age and acid etching time on dentin bonding .. purpose : to compare the bond strengths of young and old dentin using a single - bottle etch - and - rinse adhesive system with two acid - etching times ( 15 s and 30 s ), and to examine the correlation between dentin hardness and bond strength . materials and methods : twenty - four molars from 18 - to 22 - or 55 - to 60 - year - old patients were prepared to expose the occlusal dentin , cut into two equal parts , and assigned to four groups ( g ), varying the etching time ( 15 s and 30 s ) and dentin age ( young [ y ] or old [ o ]): g15y , g30y , g15o and g30o . after etching , adpersinglebond ( 3m espe ) adhesive was applied and the tooth was built up with a composite ( filtek z250 ). the specimens were prepared for the microtensile bond strength test ( μtbs ) at a crosshead speed of 0 . 5 mm / min and the interfaces were observed under sem . also , the knoop hardness ( khn ) of young vs old dentin was measured . results : the mean (± sd ) μtbs ( mpa ) were : g15y = 45 . 9 (± 10 . 7 ) a , g15o = 34 . 1 (± 9 . 4 ) b , g30y = 48 . 6 (± 14 . 3 ) a and g30o = 47 . 7 (± 11 . 0 ) a . two - way anova showed no difference in μtbs between young and old dentin . old dentin acid etched for 15 s ( g15o ) had a lower μtbs than when acid etched for 30 s ( g30o ). dentin hardness was higher for old dentin ( 67 . 0 ± 4 . 8khn ) than young dentin ( 63 . 7 ± 2 . 9khn ) ( p < 0 . 004 ). no correlation between μtbs and dentin hardness was observed . resin tags were larger and more numerous for young dentin . the hybrid layer formed in intertubular old dentin ( g15o ) was very thin . conclusion : bonding to old dentin with 30 s of etching time resulted in higher bond strength and more homogeneous hybrid layer formation than dentin acid etched for 15 s .	0
evaluation of the interface between one - bottle bonding agents and dentin by cryopreparation and low - temperature scanning electron microscopy ( ltsem ). a pilot study on perfused dentinal samples .. objectives : dentin bonding samples are generally observed in the high vacuum chamber of an electron microscope only after completion of the bonding procedure fixation , dehydration and drying of the specimens . the purpose of this study was to observe the effect of each step in the application of various one - bottle dentin bonding agents ( dba ) using cryopreparation followed by low - temperature scanning electron microscopy ( ltsem ). methods : prime & bond 2 . 1 ( p & b 2 . 1 ), coltène experimental ( exp .) and syntac single component ( syntac sc ) were applied onto perfused dentin of extracted , human third permanent molar teeth . after acid - etching , rinsing and drying , and following the application of the respective resins , the teeth were fractured at random and plunge - frozen in liquid nitrogen before examination under ltsem . as this method preserves the state of the treated surface at the moment when it is frozen , each step of the application of the dba can be observed as if it were a ' real - time ' procedure . results : acid - etching the dentin resulted in the removal of the smear layer for all materials tested . those one - bottle dbas which recommend the application of two consecutive resin layers ( p & b 2 . 1 and syntac sc ) showed incomplete saturation of the dentinal surface after application of the first layer . with syntac sc the incomplete saturation was more pronounced than with p & b 2 . 1 . the use of exp . resulted in a much more homogeneous coverage of the dentin despite only one layer of resin having been applied . conclusion : it is concluded that cryo - preparation followed by ltsem appears to be a method which allows each stage of the application of dba to be evaluated .	0
effect of commercially available bonding agents impregnated with fibers on bending strength of hybrid resin .. to clarify the mechanical properties of fiber - reinforced hybrid resin bridges , this study evaluated the influence of various bonding agents (( modeling liquid ( ml ), de resin ( de ), bell bond ( be ), mega bond ( mg ), durafil bond ( du ), fluoro bond ( fb ), mac - bond ( mc ), eg bond ( eg ), unifill bond ( un ), single bond ( sn )) impregnated with fibers on bending strength . fb attained the highest bending strength of 570 mpa , whereas sn exhibited the lowest value of 224 mpa , which meant that the bending strength of fb was 2 . 5 times higher than that of sn . results of this study suggested that the bending strength of fiber - reinforced hybrid resin was significantly affected by bonding agents impregnated with fibers . therefore , selection of bonding agent for hybrid resin restoration requires careful consideration of product composition to ensure an optimal bonding agent - fiber combination , thereby imparting improved mechanical properties to the resultant dental restoration .	0
collagen cross linking increases its biodegradation resistance in wet dentin bonding .. purpose : the biodegradation of exposed dentin collagen within the adhesive / dentin ( a / d ) interface is one of the main reasons for composite restoration failures and seriously affects the durability of dental restorations . in the present study , the objective was to investigate whether the inclusion of the cross - linking reagent ( glutaraldehyde , ga ) in the adhesive would increase collagen biodegradation resistance within the a / d interface . materials and methods : the model adhesive consisted of ~ 60 % monomers ( hema / bis - gma , 45 / 55 wt / wt ) and ~ 40 % ethanol as a solvent . 5 % ga was added to the above formulation . after the dentin surfaces were etched for 15 s with 35 % phosphoric acid , rinsed with water and blotted dry , adhesives both with and without ga were applied and polymerized by visible light for 20 s . these a / d specimens were immersed in the biodegradation solution ( prepared by adding 160 mg collagenase in 1 liter of tesca buffer solution ) for up to 30 days after proceeding with the sectioning / fracture to expose the a / d interfaces . the specimens were analyzed using sem and micro - raman spectroscopy . results : sem results indicated that for the adhesive without ga , there were many voids and a loss of collagen fibrils in the a / d interface after being challenged by the biodegradation solution . the raman spectra collected from the interface showed that the amide i of collagen at 1667 cm - 1 obviously decreased , indicating a removal of collagen fibrils during the degradation process . for the adhesive containing ga , the collagen fibrils within the interface did not degrade at all , which was also confirmed by the raman results . conclusion : the results corroborate the previous findings that by using the current adhesive system and wet bonding , the collagen fibrils in the a / d interface are largely unprotected and easily undergo biodegradation . directly including cross - linking agents in the adhesive could protect collagen fibrils from degradation in situ within the a / d interface .	0
bisphenol a in dental sealants and its estrogen like effect .. bisphenol a or bpa - based epoxy resins are widely used in the manufacture of commercial products , including dental resins , polycarbonate plastics , and the inner coating of food cans . bpa is a precursor to the resin monomer bis - gma . during the manufacturing process of bis - gma dental sealants , bisphenol a ( bpa ) might be present as an impurity or as a degradation product of bis - dma through esterases present in saliva . leaching of these monomers from resins can occur during the initial setting period and in conjunction with fluid sorption and desorption over time and this chemical leach from dental sealants may be bioactive . researchers found an estrogenic effect with bpa , bis - dma , and bis - gma because bpa lacks structural specificity as a natural ligand to the estrogen receptor . it generated considerable concern regarding the safety of dental resin materials . this review focuses on the bpa in dental sealants and its estrogen - like effect .	0
influence of incorporation of antibacterial monomer on curing behavior of a dental composite .. a newly developed monomer , methacryloyloxdodecylpyridinium bromide ( mdpb ), has an antibacterial activity against oral streptococci , and this monomer can be active even after being immobilized as one component of a cured composite . the purpose of this study was to investigate the influence of incorporation of mdpb on the curing behavior of bis - gma - based composites . depth of cure , degree of cure , light - attenuating effect , and surface hardness of composites incorporating 0 . 4 or 0 . 5 % mdpb were measured and compared with those of a control material without mdpb . depth of cure of composites with mdpb , measured by means of a penetrometer , was greater than for the control ( p < 0 . 05 ). differential thermal analysis showed that composites with mdpb had a significantly greater degree of cure than the control ( p < 0 . 05 ). the light - attenuating effect of mdpb composites was less than for the control ( p < 0 . 05 ). no significant difference between experimental and control was obtained with respect to vickers hardness after both one day ' s and seven days ' storage in water . these results indicate that the incorporation of small quantities of mdpb into bis - gma - based composites did not adversely affect the cure performance . on the contrary , a significant , though small , improvement was observed .	0
determination of bisphenol a , 4 - n - nonylphenol , and 4 - tert - octylphenol by temperature - controlled ionic liquid dispersive liquid - phase microextraction combined with high performance liquid chromatography - fluorescence detector .. present study described a simple , sensitive , and viable method for the determination of bisphenol a , 4 - n - nonylphenol and 4 - tert - octylphenol in water samples using temperature - controlled ionic liquid dispersive liquid - phase microextraction coupled to high performance liquid chromatography - fluorescence detector . in this experiment , 1 - octyl - 3 - methylimidazolium hexafluorophosphate ([ c ( 8 ) mim ][ pf ( 6 )]) was used as the extraction solvent , and bisphenol a , 4 - n - nonylphenol and 4 - tert - octylphenol were selected as the model analytes . parameters affecting the extraction efficiency such as the volume of [ c ( 8 ) mim ][ pf ( 6 )], dissolving temperature , extraction time , sample ph , centrifuging time and salting - out effect have been investigated in detail . under the optimized conditions , good linear relationship was found in the concentration range of 1 . 0 - 100 μg l (- 1 ) for bpa , 1 . 5 - 150 μg l (- 1 ) for 4 - np , and 3 - 300 μg l (- 1 ) for 4 - op , respectively . limits of detection ( lod , s / n = 3 ) were in the range of 0 . 23 - 0 . 48 μg l (- 1 ). intra day and inter day precisions ( rsds , n = 6 ) were in the range of 4 . 6 - 5 . 5 % and 8 . 5 - 13 . 3 %, respectively . this method has been also successfully applied to analyze the real water samples at two different spiked concentrations and excellent results were obtained .	0
